Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
3.0,4.0,0.0067779,N.A.,0.2115827,N.A.,0.5819225,N.A.,0.0043894,0.0011927,N.A.,0.0059723,N.A.,0.1727775,N.A.,0.0153846,0.1307694,0.049836,926.02148,0.0879726,0.0103857,2200.3125,0.0281401,2248.2219,N.A.,0.0787853,N.A.,0.4589244,N.A.,N.A.,0.0016413,N.A.,0.0107091,N.A.,0.0755365,N.A.,0.2901738,N.A.,0.005466,N.A.,N.A.,N.A.,N.A.,0.0787632,N.A.,N.A.,N.A.,N.A.,0.0598903,0.0049966,11427.872
4.0,5.0,N.A.,0.006968,0.1614065,N.A.,0.5897361,0.0031849,0.0039069,N.A.,N.A.,N.A.,0.0017186,0.197991,N.A.,0.0350877,0.1660445,0.0346424,914.47741,0.0667772,0.0057408,2193.0397,0.0231869,2248.7819,N.A.,0.2900848,0.066813,0.4058684,N.A.,N.A.,N.A.,N.A.,N.A.,0.0020421,0.001711,N.A.,0.1192999,0.0008177,N.A.,N.A.,N.A.,N.A.,N.A.,0.1122363,0.0011263,N.A.,N.A.,N.A.,0.1134379,0.0093781,11381.383
5.0,6.0,N.A.,N.A.,0.082202,N.A.,0.7843796,N.A.,0.0139594,0.002741,N.A.,0.0125566,0.0029264,0.0786783,N.A.,0.0225563,0.1567161,0.0391825,953.55987,0.0511884,0.0070298,2194.5688,0.0264607,2250.7973,N.A.,0.0060175,N.A.,0.6064782,N.A.,0.0327626,N.A.,N.A.,N.A.,N.A.,0.0400994,0.0042916,0.2677717,N.A.,0.0130065,0.0095816,N.A.,N.A.,N.A.,0.0171835,0.0028068,N.A.,N.A.,N.A.,0.0232667,0.0050063,11492.802
6.0,7.0,N.A.,N.A.,0.0239594,N.A.,0.8413899,0.0057196,0.0169681,0.0048855,N.A.,0.0222274,0.0067468,0.0781029,N.A.,N.A.,0.1405266,0.037893,945.8189,0.0345213,0.0064493,2190.4377,0.0352142,2252.538,N.A.,0.0339314,N.A.,0.5714971,N.A.,0.0223135,N.A.,N.A.,N.A.,N.A.,0.025,N.A.,0.3418847,N.A.,0.002215,0.003158,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0307442,0.0065209,11500.127
7.0,8.0,N.A.,0.0039843,N.A.,0.0013539,0.8339193,0.0194752,0.0142854,0.009424,N.A.,0.0012233,0.0141332,0.1022009,N.A.,N.A.,0.1649165,0.0370877,926.55365,0.0416577,0.0056648,2199.7272,0.0521267,2252.2299,N.A.,0.1814913,N.A.,0.5166393,N.A.,0.0096376,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2285202,0.0008241,0.0063446,0.0041083,N.A.,N.A.,N.A.,0.0524342,N.A.,N.A.,N.A.,N.A.,0.0792657,0.0089585,11431.094
8.0,9.0,N.A.,N.A.,0.0024776,N.A.,0.8690804,0.0319209,0.0043162,0.0049088,N.A.,0.0012311,N.A.,0.0860647,N.A.,N.A.,0.1442412,0.0377947,937.67334,0.0342692,0.0047579,2205.1479,0.054611,2252.2077,N.A.,0.1917291,N.A.,0.5101554,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2795708,0.0035976,0.0021189,0.0047712,N.A.,N.A.,N.A.,0.0072935,0.0007632,N.A.,N.A.,N.A.,0.0694686,0.0035533,11461.201
9.0,10.0,N.A.,0.0011815,N.A.,N.A.,0.8557868,0.0246622,0.0082494,0.0039416,N.A.,0.0104916,0.0078899,0.0877966,N.A.,N.A.,0.1399734,0.0333591,940.39202,0.0252982,0.0058673,2195.5454,0.0514747,2252.3898,N.A.,0.0610319,N.A.,0.59544,N.A.,0.0422448,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2837443,0.0020836,0.0034258,0.0033778,N.A.,N.A.,N.A.,0.0067062,0.0019451,N.A.,N.A.,N.A.,0.0369838,0.0042614,11500.515
10.0,11.0,N.A.,0.0042595,0.001541,N.A.,0.8610829,0.0043217,0.0050179,N.A.,N.A.,0.0371516,0.0146317,0.0690692,0.002924,N.A.,0.1454524,0.052004,926.29632,0.0229368,0.0081486,2196.268,0.039735,2253.4856,N.A.,0.165282,N.A.,0.5987563,N.A.,0.0573508,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1711227,0.0025364,N.A.,N.A.,N.A.,N.A.,N.A.,0.0025994,0.002352,N.A.,N.A.,N.A.,0.0610214,0.0051631,11472.895
11.0,12.0,N.A.,0.0074147,0.0031825,N.A.,0.6648486,0.014364,0.0039504,N.A.,N.A.,0.0289489,0.0041183,0.1801612,0.0021018,0.090909,0.1502909,0.0403477,959.58795,0.0154587,0.020287,2183.4047,0.0359386,2253.9367,N.A.,0.2320763,N.A.,0.4192732,0.1220865,0.1674638,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0513218,0.0011736,N.A.,N.A.,N.A.,N.A.,N.A.,0.0052384,0.001366,N.A.,N.A.,N.A.,0.0849518,0.0069971,11514.057
12.0,13.0,0.0014385,0.0059751,N.A.,N.A.,0.787292,N.A.,0.0116716,0.0015945,N.A.,0.0445155,0.0075072,0.1400052,N.A.,N.A.,0.1545765,0.0355334,971.76434,0.017786,0.0088459,2191.5932,0.026754,2253.2585,N.A.,0.1643038,N.A.,0.5425142,0.0609264,0.1300886,0.0018843,N.A.,N.A.,N.A.,N.A.,N.A.,0.0936397,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0066427,N.A.,N.A.,N.A.,0.0654099,0.0074006,11500.218
