Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
4.0,5.0,0.0027803,N.A.,0.2769674,N.A.,0.3821247,N.A.,0.2774824,N.A.,N.A.,0.008264,N.A.,0.052381,N.A.,N.A.,0.3029576,0.1412018,949.22253,0.0790691,0.0060657,2206.9328,0.0318005,2244.2651,N.A.,0.0055499,0.0307476,0.0093311,N.A.,N.A.,N.A.,N.A.,0.0022072,N.A.,0.1773029,N.A.,0.3814345,N.A.,0.2716918,N.A.,N.A.,N.A.,N.A.,0.1128766,0.0059083,N.A.,0.0029495,N.A.,N.A.,0.0014975,11393.548
5.0,6.0,0.0058937,N.A.,0.3036989,0.0007148,0.3887383,0.0130977,0.2389988,N.A.,N.A.,0.0081852,0.0006461,0.0400261,N.A.,N.A.,0.2997017,0.1274943,955.16955,0.0554081,0.0070907,2201.5012,0.0303043,2244.7954,N.A.,0.0007665,0.0389629,0.0108121,N.A.,N.A.,0.0009906,N.A.,0.0028006,N.A.,0.1388972,N.A.,0.3261165,0.0088523,0.3591642,N.A.,N.A.,4.7e-05,N.A.,0.0958372,0.0068737,0.0010764,0.0088019,N.A.,0.0384588,0.0015961,11382.615
6.0,7.0,0.0021696,N.A.,0.2192797,0.0008673,0.3829047,0.0249089,0.3095658,0.001411,0.0028095,0.0182091,0.0012225,0.0360451,N.A.,0.0006061,0.2534302,0.106061,955.52813,0.0492548,0.0071615,2198.1816,0.0331563,2244.7592,N.A.,N.A.,0.0117542,0.0141735,N.A.,N.A.,N.A.,N.A.,0.0011424,N.A.,0.1099309,N.A.,0.2749678,0.007457,0.4378978,0.0021969,0.0011152,0.0010961,N.A.,0.1233519,0.0007173,N.A.,0.0141985,N.A.,N.A.,0.0019343,11392.183
7.0,8.0,N.A.,N.A.,0.3953499,N.A.,0.2503383,0.0704744,0.2223644,N.A.,N.A.,0.0140689,0.001225,0.0461788,N.A.,N.A.,0.2862342,0.1029022,956.10736,0.0659811,0.0060292,2203.4016,0.0321022,2244.7922,N.A.,N.A.,0.0022832,0.0076222,0.0014436,N.A.,N.A.,N.A.,N.A.,N.A.,0.2294083,N.A.,0.2741169,0.0383931,0.3511168,N.A.,N.A.,0.0003659,N.A.,0.0904943,N.A.,N.A.,0.0047552,N.A.,N.A.,0.0027231,11350.657
8.0,9.0,0.0010111,N.A.,0.23494,N.A.,0.2896233,0.0970109,0.2940036,0.0016421,N.A.,0.0175226,0.002196,0.0620501,N.A.,N.A.,0.3567489,0.1013911,962.1275,0.0558637,0.0049445,2204.5627,0.0337014,2244.9731,N.A.,0.003892,0.0039128,0.0146588,0.0003219,N.A.,N.A.,N.A.,N.A.,N.A.,0.0881875,N.A.,0.2791859,0.03436,0.4480618,N.A.,N.A.,0.0004542,N.A.,0.1234784,0.0004184,N.A.,0.0030675,N.A.,0.0267615,0.0022248,11389.999
9.0,10.0,N.A.,N.A.,0.2745358,N.A.,0.4152891,0.0089556,0.2403098,N.A.,0.0024843,0.0020763,N.A.,0.0563487,N.A.,N.A.,0.3079715,0.0942698,961.11535,0.054658,0.0061713,2203.7731,0.0330124,2244.8095,N.A.,0.0074667,0.0223835,0.0180157,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1157839,N.A.,0.304056,0.0034769,0.3544109,N.A.,0.0027471,0.0005365,N.A.,0.1662947,N.A.,N.A.,0.0048276,N.A.,0.0450869,0.0030201,11398.059
10.0,11.0,0.0060307,N.A.,0.2394844,0.0006492,0.4276084,0.0199409,0.2303418,0.0017494,0.0024163,0.0142443,0.0007383,0.0493608,N.A.,0.0074349,0.2628216,0.1650046,941.57128,0.0575307,0.0086311,2196.3818,0.0288568,2244.5302,N.A.,0.0042937,0.0389973,0.0140482,N.A.,N.A.,N.A.,N.A.,0.0057834,0.0010754,0.2164327,N.A.,0.3771228,0.0230709,0.2482577,N.A.,0.0041566,0.0038903,N.A.,0.0562921,0.0024918,N.A.,0.0040863,N.A.,0.042635,0.0021447,11383.809
11.0,12.0,0.0020822,0.000639,0.1285132,0.0028006,0.3858806,0.0372479,0.3567547,N.A.,0.0017673,0.0088754,N.A.,0.0717073,N.A.,0.0037313,0.2655545,0.1264554,952.87805,0.048446,0.0069937,2191.1472,0.0309953,2244.8073,N.A.,N.A.,0.0198468,0.0118084,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0831444,N.A.,0.3638362,0.021132,0.3855075,N.A.,0.0022852,7.6e-05,N.A.,0.0976717,0.0035473,N.A.,0.0111445,N.A.,N.A.,0.0016849,11398.941
12.0,13.0,0.0024961,N.A.,0.2085498,N.A.,0.3444284,0.0196279,0.3569861,0.001889,N.A.,0.0152524,0.0029673,0.0478026,N.A.,N.A.,0.2933356,0.1340991,954.182,0.0458583,0.0067843,2193.1748,0.0253072,2244.6599,N.A.,0.0005614,0.0141717,0.0247926,N.A.,N.A.,N.A.,N.A.,0.0007423,N.A.,0.1352957,N.A.,0.3046497,0.0077055,0.4411267,N.A.,N.A.,N.A.,N.A.,0.0649503,0.0016168,N.A.,0.0043867,N.A.,N.A.,0.0020402,11400.659
13.0,14.0,0.0009113,0.0024146,0.1202308,0.0005781,0.1374383,0.0415657,0.5455532,0.0146828,N.A.,0.0093739,0.0037809,0.1228079,0.0006619,N.A.,0.2760572,0.0726906,956.41247,0.0394394,0.007679,2191.0502,0.0187673,2245.4829,N.A.,0.0609897,0.0185536,0.212216,0.0005754,0.0006221,N.A.,N.A.,N.A.,0.002095,0.0385954,N.A.,0.1582838,0.0254744,0.3571508,0.0058941,N.A.,0.0011979,N.A.,0.1171362,0.0003158,N.A.,0.0008992,N.A.,0.2146093,0.0023758,11384.698
14.0,15.0,N.A.,0.0144788,0.069155,0.0015631,0.0992607,0.054182,0.6128543,0.0056102,N.A.,0.0094568,N.A.,0.1334388,N.A.,N.A.,0.2648697,0.0695673,953.93035,0.0442984,0.0118517,2192.0397,0.0204434,2246.0402,N.A.,0.0432336,0.0309638,0.2138806,0.0024971,N.A.,N.A.,N.A.,N.A.,0.0005416,0.0360119,N.A.,0.0833695,0.0228279,0.418948,0.0029207,N.A.,N.A.,N.A.,0.1418387,0.002966,N.A.,N.A.,N.A.,0.136842,0.0074564,11375.984
15.0,16.0,0.0035945,0.0175403,0.068639,0.0024249,0.240684,0.0224793,0.4458516,0.011477,0.0011865,0.015167,0.0005974,0.1419977,0.0006784,0.0276816,0.2552094,0.0783623,949.16894,0.0471287,0.0092757,2189.8413,0.0185258,2245.7556,N.A.,0.1384604,0.0187664,0.1891616,0.000627,0.0008038,N.A.,N.A.,0.0016217,0.0048078,0.0368891,N.A.,0.1757936,0.0157674,0.2801008,0.0090819,N.A.,0.0005401,N.A.,0.1259288,0.0005085,N.A.,0.0011404,N.A.,0.1829933,0.0037744,11378.645
16.0,17.0,0.0035119,0.0129701,0.0265906,0.005388,0.1704043,0.0381276,0.5940915,0.0126365,0.0056426,0.0233484,N.A.,0.0911032,N.A.,0.0161845,0.2308583,0.0857176,951.05609,0.0349865,0.0097446,2187.246,0.0190378,2246.5781,N.A.,0.0323308,0.0367145,0.2431802,0.0008257,0.0005999,N.A.,N.A.,0.0007556,0.0065195,0.0184189,0.0005223,0.1563719,0.0379888,0.4006248,0.0088123,0.0041616,0.0048582,N.A.,0.0415281,0.0057859,N.A.,N.A.,N.A.,0.1841404,0.0019791,11387.043
17.0,18.0,0.0009055,0.0095531,0.0331005,0.0012025,0.1715055,0.039589,0.613191,0.0173127,0.0039215,0.0229594,N.A.,0.0819589,0.00274,0.0020597,0.2492288,0.0651477,948.26306,0.0364033,0.0071925,2189.8342,0.0211912,2245.8498,N.A.,N.A.,0.0397972,0.1887651,N.A.,0.0011595,N.A.,N.A.,0.000702,0.0067843,0.0259465,N.A.,0.1964315,0.0324844,0.4271909,0.0207012,0.0013647,0.0014153,N.A.,0.0527376,0.004519,N.A.,N.A.,N.A.,N.A.,0.0019925,11393.521
18.0,19.0,N.A.,0.0477566,0.0472603,0.0018091,0.1254913,0.080935,0.5681633,0.0084463,0.0031948,0.0210618,0.0005751,0.0921108,N.A.,0.0031948,0.2424673,0.0762847,952.46728,0.0449648,0.0184302,2191.531,0.0224958,2245.3305,N.A.,0.0679758,0.0564198,0.1972023,0.0015507,0.0025562,N.A.,N.A.,N.A.,0.0053263,0.0314577,N.A.,0.1273439,0.0706675,0.3871805,0.0102564,0.003125,0.0005626,N.A.,0.0351431,0.0032315,N.A.,N.A.,N.A.,0.2008995,0.0019761,11391.327
19.0,20.0,0.0018565,N.A.,0.025571,0.0045146,0.121204,0.0492109,0.5407892,0.0066462,0.0056545,0.0401903,0.0013712,0.1680924,0.0014677,0.0334307,0.2366155,0.1122255,953.30603,0.0496892,0.0065498,2186.2741,0.0197476,2245.5727,N.A.,N.A.,0.0271903,0.1171015,0.0001776,N.A.,N.A.,N.A.,0.0020557,N.A.,0.0246235,0.0005255,0.1525631,0.0764956,0.5340743,0.0135888,0.0062695,0.003849,N.A.,0.0414849,N.A.,N.A.,N.A.,N.A.,N.A.,0.0019797,11384.376
20.0,21.0,N.A.,N.A.,0.0397965,0.0025686,0.2666033,0.1168791,0.4992187,0.0090973,N.A.,0.0057275,N.A.,0.0589681,0.0011404,N.A.,0.2014219,0.0433539,929.00543,0.0435604,0.0067795,2206.2019,0.0355547,2245.6135,N.A.,0.0351468,0.0649897,0.233445,0.0078779,0.003317,N.A.,N.A.,N.A.,N.A.,0.0310443,0.0003511,0.2172216,0.0642367,0.2797244,0.0097542,N.A.,N.A.,N.A.,0.0505626,0.001902,N.A.,0.000426,N.A.,0.0812539,0.0021728,11383.069
21.0,22.0,N.A.,N.A.,0.0421305,0.0045975,0.2852587,0.0272462,0.5985593,0.0007417,N.A.,0.0038004,N.A.,0.0185443,0.0011049,0.018015999999999997,0.2017826,0.0358549,925.18579,0.0376427,0.007283,2202.4772,0.0272669,2245.8508,N.A.,0.0050131,0.0564143,0.315301,0.0052993,0.0010762,N.A.,N.A.,N.A.,0.002351,0.03067,0.0003888,0.2269097,0.0121953,0.2900047,N.A.,N.A.,0.0012089,N.A.,0.0504741,0.0022167,N.A.,0.0004759,N.A.,0.0205946,0.0018145,11407.639
22.0,23.0,0.0012917,0.0070113,0.0394198,0.0080142,0.0657583,0.0897195,0.5886128,0.0098516,0.006993,0.0347161,0.003248,0.0315186,0.0039729,0.1098713,0.1919453,0.0688123,942.55255,0.0190251,0.0107318,2185.6591,0.0208885,2246.3974,N.A.,N.A.,0.0376387,0.2368062,0.0015161,N.A.,N.A.,N.A.,N.A.,0.0024043,0.0402557,0.0006414,0.0547468,0.0580941,0.5312665,0.0091129,0.0037706,0.012391,N.A.,0.0073592,0.0001375,N.A.,0.0005688,0.0032894,N.A.,0.0017777,11363.703
23.0,24.0,0.0010062,0.0006894,0.0887534,0.0009755,0.2170778,0.01625,0.5369564,0.0068573,0.0020834,0.0167808,N.A.,0.0564317,0.0023696,0.053767699999999995,0.223553,0.0473635,940.58398,0.0320314,0.0084581,2193.4055,0.0199719,2246.2749,N.A.,0.1076258,0.0264083,0.304753,0.0002197,0.0003799,N.A.,N.A.,N.A.,N.A.,0.0648185,N.A.,0.1512959,0.0189489,0.28684,0.0048088,0.0003158,0.0010857,N.A.,0.0310315,0.0004119,0.0004563,0.0005991,N.A.,0.1575889,0.0022291,11374.909
24.0,25.0,N.A.,N.A.,0.0038707,N.A.,0.0769451,0.0072015,0.866694,0.0040439,N.A.,0.0031943,N.A.,0.0339199,N.A.,0.0041301,0.2531794,0.0351103,958.43267,0.0204119,0.0096799,2197.1882,0.0179882,2245.5195,N.A.,0.1455582,0.0077635,0.4940685,0.00083,0.0040797,0.0006475,N.A.,N.A.,N.A.,N.A.,N.A.,0.0042584,N.A.,0.2955467,0.0004097,N.A.,N.A.,N.A.,0.0459065,0.0004802,N.A.,0.0004506,N.A.,0.1208669,0.0076117,11372.863
25.0,26.0,0.0044542,0.0088948,0.0370589,0.0072449,0.4667295,0.0069514,0.2951529,N.A.,0.0251809,0.0581809,0.005214,0.0157881,N.A.,0.0691489,0.2187671,0.0737174,941.21124,0.0094662,0.0126499,2180.9357,0.0159632,2246.6108,N.A.,0.0096126,0.0738884,0.1057284,0.0023916,0.0015753,0.0006747,N.A.,0.0012107,0.0059137,0.0570353,0.0033339,0.3572657,0.0167773,0.317817,N.A.,0.0158445,0.0229139,N.A.,0.007212,N.A.,0.0008042,N.A.,N.A.,0.1244238,0.0023276,11323.345
26.0,27.0,0.0067063,0.0207577,0.0220871,0.0073299,0.2881113,0.0227799,0.4444833,0.0036954,0.035842,0.0853662,0.0011325,0.0029683,0.0007038,0.0580357,0.1954861,0.067133,946.29791,0.0095816,0.0166881,2185.8493,0.0156188,2246.7085,N.A.,N.A.,0.0561616,0.1820853,0.0027101,N.A.,N.A.,N.A.,0.0013168,0.0085747,0.0141584,0.0008551,0.1947632,0.0232378,0.4649214,0.0018152,0.0213929,0.0266293,N.A.,N.A.,0.0013775,N.A.,N.A.,N.A.,N.A.,0.0019146,11321.59
27.0,28.0,0.0012836,N.A.,N.A.,0.0061749,0.1466285,0.056864,0.6874526,0.0070191,0.0032167,0.0338796,0.0011775,0.0017578,N.A.,0.0545454,0.2075058,0.045431,955.81512,0.0097957,0.0079299,2194.2055,0.0228144,2246.2724,N.A.,0.0205233,0.0361175,0.3841382,0.0015724,0.0011513,N.A.,N.A.,N.A.,N.A.,0.0023675,0.0019735,0.0750116,0.015093,0.4520457,0.0077831,0.000134,0.0014508,N.A.,0.0006374,N.A.,N.A.,N.A.,N.A.,N.A.,0.0018908,11341.724
28.0,29.0,N.A.,N.A.,0.0076911,N.A.,0.2268535,0.0948311,0.6243951,0.0012344,0.0017313,0.0074231,N.A.,0.015558,0.001832,0.0184501,0.2057348,0.0421079,921.87231,0.0128049,0.0079091,2200.9472,0.0317539,2245.6933,N.A.,0.0639402,0.0306918,0.3606747,0.0005093,0.0028781,N.A.,N.A.,0.0005344,N.A.,0.0056245,N.A.,0.1812874,0.0438149,0.2858145,0.0035949,0.0036496,0.0047554,N.A.,0.0112293,0.000179,N.A.,0.0008211,N.A.,0.1278489,0.0019963,11383.972
29.0,30.0,0.0120951,0.0100861,0.0803167,0.019322,0.1781704,0.0716589,0.2198753,0.008017,0.0133279,0.0291583,0.0028943,0.0050774,N.A.,0.3499999,0.181352,0.1485545,936.69873,0.0159275,0.0171366,2184.573,0.0167268,2247.9919,N.A.,0.0244023,0.0532801,0.0975301,0.0017367,0.0028837,0.0002222,N.A.,0.0060497,0.0592309,0.0785399,0.0136167,0.1903827,0.0642881,0.3586661,0.0081471,0.0104126,0.0193773,N.A.,0.0007261,0.0081687,0.002144,0.0001941,N.A.,0.2150325,0.0026582,11293.118
30.0,31.0,0.0155847,0.0169345,0.1134152,0.004329,0.300516,0.0210947,0.2449236,0.0018211,0.0052534,0.0099037,N.A.,0.0403305,N.A.,0.2258931,0.2223633,0.147354,942.00604,0.0317746,0.0177463,2189.3012,0.0233673,2246.5202,N.A.,0.1635208,0.056573,0.0533994,0.0007816,0.0015613,N.A.,N.A.,0.0098097,0.0462354,0.1056643,0.0040485,0.2445932,0.0315869,0.2343688,0.0020299,0.0055665,0.009398,N.A.,0.0282005,0.0015248,0.0006834,0.0004528,N.A.,0.2428324,0.0041523,11308.669
31.0,32.0,N.A.,N.A.,0.0191624,0.0022999,0.4713943,0.0131941,0.4814152,N.A.,0.0006587,0.0089507,N.A.,0.0029243,N.A.,N.A.,0.2091284,0.1184729,951.62347,0.0207341,0.0107445,2206.9128,0.0415416,2244.6831,N.A.,0.0029003,0.0441672,0.1357266,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0062585,N.A.,0.3178011,0.0111861,0.4549462,N.A.,N.A.,0.0037174,N.A.,0.0058072,0.0170582,N.A.,0.0004307,N.A.,N.A.,0.001889,11390.078
32.0,33.0,N.A.,N.A.,0.0069543,0.0012247,0.3359555,0.1472099,0.4752998,0.0039789,0.001699,0.0094345,N.A.,0.0129997,0.0052433,N.A.,0.1573416,0.0468683,918.59942,0.0146836,0.0107776,2207.0341,0.0520373,2245.6159,N.A.,0.0030009,0.0513318,0.2118087,0.0007102,0.0033563,N.A.,N.A.,0.0005404,0.0012562,0.0090193,N.A.,0.2684943,0.0693997,0.3613818,0.0049286,0.0014982,0.0021718,N.A.,0.0091527,N.A.,N.A.,0.0019484,N.A.,0.008285,0.0016788,11395.511
33.0,34.0,N.A.,0.010142,0.0039621,0.0016506,0.2783145,0.0779832,0.6013113,0.0022566,0.0010264,0.0016792,N.A.,0.0190882,0.0025854,N.A.,0.2209089,0.0344152,936.24816,0.0126059,0.0094445,2209.9924,0.0358764,2245.3923,N.A.,N.A.,0.0760323,0.224086,0.0004033,0.0090668,N.A.,N.A.,N.A.,0.012533,0.0047558,0.0020176,0.1115216,0.0019618,0.5469649,N.A.,N.A.,N.A.,N.A.,0.0069773,0.003679,N.A.,N.A.,N.A.,N.A.,0.003015,11401.129
34.0,35.0,N.A.,0.0015122,0.0042579,0.0006352,0.1851667,0.0369765,0.7308279,0.0046401,N.A.,0.0198883,N.A.,0.004329,0.0103531,0.0014127,0.2106415,0.0456038,935.5819,0.0094418,0.0079119,2198.0363,0.0330036,2245.4541,N.A.,N.A.,0.031993,0.3375372,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0024583,N.A.,0.076057,0.0068832,0.5326661,0.0018896,N.A.,0.0031159,N.A.,0.0067823,N.A.,N.A.,0.000617,N.A.,0.0311005,0.0023046,11377.706
35.0,36.0,0.0006685,0.0014564,0.0051144,0.0008888,0.0872967,0.0834421,0.74482,0.0064441,0.0068822,0.032764,0.0010517,0.0129289,0.012449,0.0037924,0.1862178,0.0536762,945.50158,0.0107234,0.010874,2193.2011,0.0298193,2245.5114,N.A.,N.A.,0.0402184,0.2094017,0.0005712,N.A.,N.A.,N.A.,N.A.,0.0009366,0.0052684,N.A.,0.0538881,0.0391796,0.6149823,0.0059555,0.0075685,0.0057254,N.A.,0.0156104,N.A.,N.A.,0.0006933,N.A.,0.0142582,0.0048986,11375.343
36.0,37.0,N.A.,0.0052448,0.0023815,N.A.,0.0974605,0.1231182,0.7352697,0.0107774,N.A.,0.0054273,N.A.,0.0020716,0.0124233,0.0058253,0.1875372,0.0428322,936.65417,0.0092851,0.0088927,2198.2705,0.0345441,2245.3183,N.A.,N.A.,0.0113289,0.1956568,N.A.,0.002691,N.A.,N.A.,N.A.,N.A.,0.0009878,N.A.,0.0608403,0.0413098,0.6809607,0.0045976,N.A.,0.0006733,N.A.,0.0004177,0.0003147,N.A.,0.0002209,N.A.,N.A.,0.0023213,11380.002
37.0,38.0,0.0007491,0.0026633,0.0019122,0.0024346,0.1222414,0.1532482,0.6717823,0.0087317,0.0006518,0.0123795,0.003914,0.0034458,0.0046209,0.0112244,0.1790576,0.0450344,912.7763,0.009835,0.0090474,2197.3383,0.0376948,2245.4521,N.A.,N.A.,0.0120338,0.2155779,0.0001746,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0006042,0.0725475,0.0551115,0.634326,0.0039638,N.A.,N.A.,N.A.,0.0054208,0.0002394,N.A.,N.A.,N.A.,N.A.,0.0020269,11383.518
38.0,39.0,N.A.,0.0047134,N.A.,N.A.,0.1875258,0.07028,0.688463,0.0050276,N.A.,0.0021529,N.A.,0.0328747,0.0076777,0.0012845,0.199381,0.0377739,910.11572,0.008892,0.0103187,2201.3549,0.04224,2245.602,N.A.,0.0219392,0.0090972,0.2547966,N.A.,0.0017353,N.A.,N.A.,N.A.,0.0008381,N.A.,N.A.,0.0758966,0.0060381,0.5541325,0.0058787,N.A.,N.A.,N.A.,0.0644804,0.0051669,N.A.,N.A.,N.A.,N.A.,0.0136014,11382.242
