GSWA TSG Summary Mineral Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,DD93CG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_generated,16-02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR_algorithm,TSA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIR_algorithm,jCLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin_min_threshold,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalar_min_depth,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Automated spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,Geologist refined spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-AlOH,"Various Al-OH bearing phases e.g. diaspore (SWIR-only), gibbsite (SWIR-only), prehnite, pyrophyllite, axinite (TIR-only) and topaz (TIR-only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-MgOH,Various Mg-OH bearing phases e.g. brucite (SWIR-only) and talc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc-Silicate,"Various silicate phases e.g. zircon, cordierite, vesuvianite, staurolite, andalusite, kyanite and sillimanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid,"Unclassified e.g. aspectral, noisy, low albedo, high errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****D,"Background normalised depth of dominant spectral feature centred around wavelength **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****W,"Wavelength of dominant spectral feature centred around **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A.,Not detected or below threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
37.0,38.0,N.A.,0.2329071,N.A.,N.A.,0.7629191,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0041736,N.A.,N.A.,0.2080332,0.049722,909.27502,0.0213664,0.1214606,2203.6877,0.1055146,2254.1704,N.A.,0.4794472,0.0305209,0.2929047,N.A.,N.A.,N.A.,N.A.,N.A.,0.0430877,N.A.,N.A.,0.1393808,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0132906,0.0013678,N.A.,N.A.,N.A.,0.1239851,0.0027853,11378.911
38.0,39.0,N.A.,N.A.,N.A.,N.A.,1.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.226602,0.0530318,906.71234,0.0075778,0.0056539,2223.9199,0.1489705,2253.5617,N.A.,0.4798686,0.0013488,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.4871397,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0291492,0.0024933,N.A.,N.A.,N.A.,0.1399049,0.005762,11316.569
39.0,40.0,N.A.,0.0897666,N.A.,N.A.,0.9048212,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0054121,N.A.,N.A.,0.2555003,0.0500913,907.23065,0.0160523,0.0454345,2218.4211,0.1223207,2253.5483,N.A.,0.6548733,0.0115346,0.0150427,N.A.,0.0010296,N.A.,N.A.,N.A.,0.0127892,N.A.,N.A.,0.2516899,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0458609,0.0071793,N.A.,N.A.,N.A.,0.1747221,0.0030875,11275.61
40.0,41.0,N.A.,0.0206704,N.A.,N.A.,0.9793295,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2279757,0.0521547,908.65905,0.0167974,0.0269377,2209.3615,0.1267204,2253.5656,N.A.,0.6205177,0.0104911,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0114215,N.A.,N.A.,0.310853,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0452382,0.0014783,N.A.,N.A.,N.A.,0.1634894,0.002509,11295.339
41.0,42.0,N.A.,N.A.,N.A.,N.A.,1.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2403587,0.0579057,911.00195,0.0269625,0.0205478,2208.4939,0.1124409,2254.164,N.A.,0.4899409,0.0495869,0.0317652,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.4279605,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0007462,N.A.,N.A.,N.A.,N.A.,0.138956,0.0018653,11278.928
42.0,43.0,N.A.,N.A.,N.A.,N.A.,1.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2312395,0.0595077,911.57885,0.032221,0.0284788,2208.2287,0.0997787,2254.6914,N.A.,0.4829514,0.0306099,0.0278637,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.4504122,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0081626,N.A.,N.A.,N.A.,N.A.,0.1325495,0.0011553,11496.776
43.0,44.0,N.A.,0.034555,N.A.,0.002621,0.894423,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0684008,N.A.,N.A.,0.2002972,0.0541978,913.04364,0.0178018,0.0403839,2203.6259,0.0994482,2255.4436,N.A.,0.5104785,N.A.,0.0308845,N.A.,N.A.,N.A.,N.A.,N.A.,0.0189157,N.A.,N.A.,0.4323278,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0073933,N.A.,N.A.,N.A.,N.A.,0.1549782,0.0033313,11281.445
44.0,45.0,N.A.,N.A.,N.A.,N.A.,0.9289817,0.0134741,N.A.,N.A.,N.A.,N.A.,N.A.,0.057544,N.A.,N.A.,0.2172787,0.0504599,914.09387,0.0131367,0.0128056,2206.1501,0.1014343,2255.7263,N.A.,0.4404359,0.0754106,0.0730663,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.3837641,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.027323,N.A.,N.A.,N.A.,N.A.,0.1139874,0.0062933,11330.847
45.0,46.0,N.A.,N.A.,N.A.,N.A.,0.9578908,0.0294212,N.A.,N.A.,N.A.,N.A.,N.A.,0.0126879,N.A.,N.A.,0.1683459,0.0518076,913.48913,0.0018306,0.0023937,2199.5905,0.0936077,2254.2016,N.A.,0.463497,0.043968,0.1095793,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.3757797,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0065892,0.0005865,N.A.,N.A.,N.A.,0.1143812,0.0044269,11383.096
46.0,47.0,N.A.,N.A.,N.A.,N.A.,0.9780261,0.0203182,N.A.,N.A.,N.A.,N.A.,N.A.,0.0016556,N.A.,N.A.,0.159118,0.0467697,912.61077,0.0018518,0.0025983,2207.4423,0.0887844,2253.7304,N.A.,0.4383725,0.0148202,0.2810151,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2575611,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0082307,N.A.,N.A.,N.A.,N.A.,0.1127389,0.0034504,11370.155
47.0,48.0,N.A.,N.A.,N.A.,N.A.,1.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1649533,0.0484935,911.65972,0.0019187,0.0027947,2216.2617,0.103243,2253.4936,N.A.,0.4811782,0.0556958,0.015689,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.4323448,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0150919,N.A.,N.A.,N.A.,N.A.,0.1195301,0.0052234,11402.403
48.0,49.0,N.A.,0.0014404,N.A.,N.A.,0.8812786,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1172808,N.A.,N.A.,0.147386,0.0321211,913.40344,0.0051069,0.0062593,2186.6079,0.0733055,2253.5241,N.A.,0.5816895,0.0335053,0.0264062,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2445331,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1138657,N.A.,N.A.,N.A.,N.A.,0.1551013,0.0125968,11360.111
